diameter(nm), reduced accessible volume
0.020000, 0.000710
0.060000, 0.001750
0.100000, 0.002982
0.140000, 0.004021
0.180000, 0.005134
0.220000, 0.006386
0.260000, 0.007359
0.300000, 0.007954
0.340000, 0.008136
0.380000, 0.008296
0.420000, 0.008358
0.460000, 0.008265
0.500000, 0.008411
0.540000, 0.008169
0.580000, 0.008056
0.620000, 0.007788
0.660000, 0.008046
0.700000, 0.016270
0.740000, 0.023593
0.780000, 0.006774
0.820000, 0.006473
0.860000, 0.006209
0.900000, 0.005864
0.940000, 0.005680
0.980000, 0.005343
1.020000, 0.005015
1.060000, 0.004715
1.100000, 0.004531
1.140000, 0.004462
1.180000, 0.004054
1.220000, 0.003848
1.260000, 0.003794
1.300000, 0.003683
1.340000, 0.003338
1.380000, 0.003224
1.420000, 0.003162
1.460000, 0.002922
1.500000, 0.002792
1.540000, 0.002770
1.580000, 0.002666
1.620000, 0.002455
1.660000, 0.002446
1.700000, 0.002255
1.740000, 0.002294
1.780000, 0.002137
1.820000, 0.002108
1.860000, 0.002026
1.900000, 0.001975
1.940000, 0.001841
1.980000, 0.001830
